0815-10,Hero,EN,JA,,
wonderland_cheshire_cat_costume_malicious,Cheshire Cat C,"・Rearranges the enemy positions randomly.
・All [#f2e33a]Holy[#] enemies get -34% defense for 4 turns.
・All enemies receive 368 Bleed damage over 4 turns.","・敵の位置をランダムにシャッフルする。
・すべての[#f2e33a]聖属性[#]の敵の防御力が-34%になる (4ターン)
・4ターンの間、敵全員に368出血ダメージを与える。",,
nordic_male_lord_costume_cute,Richard C3,"・Deals 565% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -24% attack for 6 turns.","・ターゲットに565%ダメージ、近くにいる敵に小ダメージを与える。
・6ターンの間、ターゲットと近くにいる敵の攻撃力が-24%になる。",,
pirate_lady_costume_queen,Lady Locke C,"・Deals 120% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 1632 [#!]Curse[#] damage over 4 turns, starting low and increasing every turn.","・ターゲットに120%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットの敵と近くにいる敵に1632の[#!]呪い[#]ダメージを与える。最初は小ダメージを与え、ターン毎に増加する。",,
pirate_cabin_boy_costume_paper,Peters C,"・Deals 320% damage to the target.
・The target gets silenced for 3 turns.
・The target gets -24% defense for 3 turns. This effect can't be cleansed.","・ターゲットに320%のダメージを与える。
・3ターンの間、ターゲットを沈黙状態にする。
・3ターンの間、ターゲットの防御力が-24%になる。この効果は浄化できない。",,
lizardman_trapper_costume_fisher,Kashhrek C2,"・The caster and nearby allies regenerate 24 HP over 3 turns.
・[#!]Enhanced Defense Ailment[#]: The target and nearby enemies get 54% defense against Special Skills. This effect lasts until the enemy takes damage from a Special Skill 54 times.
[*] After the [#!]Enhanced Defense Ailment[#] ends or is removed or replaced, dispels buffs on the enemy.","・3ターンの間、術者と近くにいる仲間のHPが24回復する。
・[#!]強化防御異常[#]：特殊スキルに対するターゲットと近くの敵の防御力が54%になる。この効果は、その敵が特殊スキルにより54回ダメージを受けるまで継続する。
[*][#!]強化防御異常[#]が終了するか、解除されるか、置き換えられると、その敵のバフも解除される。",,
oriental_falconer_costume_cub,Chao C2,"・Deals 275% damage to the target and nearby enemies.
・The target and nearby enemies get -24% mana generation for 3 turns.","・ターゲットと近くにいる敵に275%のダメージを与える。
・3ターンの間、ターゲットと近くにいる敵のマナ生成が-24%になる。",,
oriental_panda_warrior_costume_dueller,Hu Tao C2,"・Deals 200% damage to all enemies.
・All enemies get -116% accuracy for 4 turns.
・All enemies get -24% mana generation for 4 turns.","・敵全員に200%のダメージを与える。
・4ターンの間、敵全員の命中率が-116%になる。
・4ターンの間、敵全員のマナ生成が-24%になる。",,
oriental_monkey_captain_costume_reveller,Wu Kong C2,・All allies get 270% attack with 270% accuracy for 5 turns.,・5ターンの間、仲間全員の攻撃力が270%に、命中率が270%になる。,,
pirate_dread_captain_costume_rotten,Sargasso C,"・Deals 415% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get 21% increase for any healing received for 4 turns.
・The target and nearby enemies receive 260 Water damage over 4 turns.","・ターゲットに415%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の回復量が21%増加する。
・4ターンの間、ターゲットと近くにいる敵に260の水ダメージを与える。",,
s4_gramps_costume_gardener,Gramps C,"・Each defeated ally has a +33.3% chance to get revived with +23% HP.
・All allies regenerate 32 HP over 4 turns.","・+33.3%の確率で、倒れた仲間が最大HPの+23%を有した状態で復活する。
・4ターンに渡って、仲間全員のHPが32回復する。",,
cultist_sorceress_costume_cute,Sartana C3,"・Deals 530% damage to the target.
・The target receives 594 Poison damage over 3 turns.","・ターゲットに530%のダメージを与える。
・3ターンの間、ターゲットに594の毒ダメージを与える。",,
nomad_female_lord_costume_cute,Elena C3,"・Deals 352% damage to all enemies.
・The caster and nearby allies counterattack with 85% of the damage received for 5 turns.","・敵全員に352%のダメージを与える。
・5ターンの間、術者と近くにいる仲間が受けたダメージの85%で反撃する。",,
oriental_female_mystic_costume_cute,Vivica C3,"・Recovers 54% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・All allies get 45% defense for 4 turns.","・仲間全員のライフを54%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・4ターンの間、仲間全員の防御力が45%になる。",,
lionman_barbarian_costume_cute,Azlar C3,"・Deals 355% damage to all enemies.
・All enemies receive 597 Burn damage over 3 turns.","・敵全員に355%のダメージを与える。
・3ターンの間、敵全員に597の燃焼ダメージを与える。",,
magitech_sniper_costume_cute,Domitia C3,"・Deals 590% damage to the target.
・The caster and nearby allies get 64% defense against [#f2e33a]Holy[#] for 4 turns.","・ターゲットに590%のダメージを与える。
・4ターンの間、術者と近くにいる仲間の[#f2e33a]聖属性[#]に対する防御力が64%になる。",,
forest_male_elf_costume_cute,Elkanen C3,・Deals 410% damage to the target and minor damage to nearby enemies.,・ターゲットに410%ダメージ、近くにいる敵に小ダメージを与える。,,
forest_titan_costume_cute,Horghall C3,"・Deals 430% damage to all enemies.
・All enemies get -24% attack for 6 turns. This effect can't be cleansed.","・敵全員に430%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-24%になる。この効果は浄化不可。",,
nordic_ice_enchantress_costume_cute,Isarnia C3,"・Deals 385% damage to all enemies.
・All enemies get -34% defense for 6 turns. This effect can't be dispelled.","・敵全員に385%のダメージを与える。
・6ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。",,
oriental_enchanted_monk_costume_cute,Joon C3,"・Deals 548% damage to the target.
・The target gets -121% accuracy for 6 turns.","・ターゲットに548%のダメージを与える。
・6ターンの間、ターゲットの命中率が-121%になる。",,
exalted_female_statue_costume_cute,Justice C3,"・Deals 435% damage to all enemies.
・All enemies get -116% accuracy for 4 turns.","・敵全員に435%のダメージを与える。
・4ターンの間、敵全員の命中率が-116%になる。",,
forest_female_elf_costume_cute,Kadilen C3,"・Deals 270% damage to all enemies.
・All allies get 64% defense against Special Skills for 3 turns.","・敵全員に270%のダメージを与える。
・3ターンの間、仲間全員の特殊スキルに対する防御力が64%になる。",,
tribal_chief_costume_cute,Khagan C3,"・Deals 530% damage to the target and nearby enemies.
・The caster and nearby allies get 22% mana generation for 5 turns. This effect can't be dispelled.
・The caster and nearby allies get 61% defense for 5 turns.","・ターゲットと近くにいる敵に530%のダメージを与える。
・5ターンの間、術者と近くにいる仲間のマナ生成が22%になる。この効果は解除できない。
・5ターンの間、術者と近くにいる仲間の防御力が61%になる。",,
oriental_warrior_king_costume_cute,Leonidas C3,"・Deals 565% damage to the target.
・Reduces the mana of the target by +65%.","・ターゲットに565%のダメージを与える。
・ターゲットのマナが+65%減少する。",,
elven_archer_costume_cute,Lianna C3,・Deals 592% damage to the target.,・ターゲットに592%のダメージを与える。,,
s4_russula_costume_painter,Russula C,"・Deals 300% damage to the target.
・The caster goes into hiding for 2 turns.
[*]While hidden, the caster can't receive new status effects or stacks and all received damage is reduced by 70%.
[*]When the caster comes out of hiding, they deal 737 damage to all enemies who used Special Skills while the caster was hiding.","・ターゲットに300%のダメージを与える。
・2ターンの間、術者が身を隠す。
[*]身を隠している間、術者は新しいステータス効果や累積効果を無効化し、受けるダメージは70%になる。
[*]術者が再び姿を現すと、術者が身を隠していた間に特殊スキルを使用した敵全員に対して、737ダメージを与える。",,
exalted_warrior_costume_cute,Magni C3,"・Deals 500% damage to the target.
・The caster and nearby allies get 56% defense for 4 turns.","・ターゲットに500%のダメージを与える。
・4ターンの間、術者と近くにいる仲間の防御力が56%になる。",,
nomad_female_captain_costume_cute,Marjana C3,"・Deals 538% damage to the target.
・The target receives 603 Burn damage over 3 turns.","・ターゲットに538%のダメージを与える。
・3ターンの間、ターゲットに603の燃焼ダメージを与える。",,
underworld_champion_costume_cute,Obakan C3,"・Deals 390% damage to the target and minor damage to nearby enemies.
・The caster counterattacks with 75% of the damage received for 4 turns. This effect can't be dispelled.","・ターゲットに390%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、術者が受けたダメージの75%で反撃する。この効果は解除できない。",,
cultist_inventor_costume_cute,Quintus C3,・Deals 420% damage to all enemies.,・敵全員に420%のダメージを与える。,,
royal_knight_commander_costume_cute,Thorne C3,・Deals 640% damage to the target and minor damage to nearby enemies.,・ターゲットに640%ダメージ、近くにいる敵に小ダメージを与える。,,
s4_kravekrush_costume_grillmaster,Kravekrush C,"・Deals 460% damage to the target and minor damage to nearby enemies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_add_status_effects_first_kravekrush_costume_TYPE_addstatuseffectsfirst
・All enemies can't revive their allies or themselves for 4 turns.
・All enemies can't receive new status effects that would resurrect them for 4 turns.","・ターゲットに460%ダメージ、近くにいる敵に小ダメージを与える。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_add_status_effects_first_kravekrush_costume_TYPE_addstatuseffectsfirst
・4ターンの間、敵全員が仲間や自身を復活させることができない。
・4ターンの間、敵全員が自身を復活させるステータス効果を新たに受けることができない。",,
s4_lughaidh_costume_deathless,Lughaidh C,"・Casts [#!]Full Removal[#] on the caster.
・[#!]Full Removal[#] removes all status effects, stacks and [#!]Growth[#] and [#!]Wither[#] effects. Removes even status effects and stacks that are otherwise undispellable or uncleansable.
・The caster shifts into Ghost form for 4 turns.
・All allies except the caster get 56% defense for 56 turns. This effect can't be cleansed.
・While in Ghost form, all allies except the caster regenerate {HPPERTURN} HP every turn.","・[#!]完全解除[#]を術者にかける。
・[#!]完全解除[#]はターゲットのすべてのステータス効果や累積効果、[#!]成長[#]と[#!]弱化[#]効果を解除する。これには、解除・浄化不可のステータス効果および累積効果も含まれる。
・4ターンの間、術者がゴースト形態になる。
・56ターンの間、術者以外の仲間全員の防御力が56%になる。この効果は浄化できない。
・ゴースト形態の間、ターン毎に術者以外の仲間全員のHPが{HPPERTURN}回復する。",,
s4_zenobia_costume_floral,Zenobia C,"・Deals 340% damage to the enemies on the edges of the enemy formation. If there is only one enemy, the damage is doubled.
・Alters the power of all [##elementblue]Ice[#] shields on the board. When an attacking Hero casts the special, the shields become enhanced and give +340% more mana. When a defending Hero casts the special, the shields become weakened and give +340% less mana.","・敵陣形の両端にいる敵に340%のダメージを与える。敵が1体しかいない場合は与えるダメージが2倍になる。
・ボード上にあるすべての[##elementblue]氷属性[#]の盾を変容する。攻撃側の英雄が特殊スキルを使用すると、盾が強化され、マナが+340%になる。防衛側の英雄が特殊スキルを使用すると、盾が弱体化され、マナが+340%になる。",,
s4_captain_nemo_costume_machinist,Captain Nemo C,"・Deals 370% damage to the target.
・Deals +150% damage if the caster has status ailments or negative stacks.","・ターゲットに370%のダメージを与える。
・術者がステータス異常やマイナスの累積効果の影響を受けている場合、+150%のダメージを与える。",,
s4_congalach_costume_kelp,Congalach C,"・Deals +325% damage to the target. 
[*] Deals additional 325% damage to +325 random enemies.
・[#!]Stack (Max: 10):[#] All allies get -8% attack.","・ターゲットに+325%のダメージを与える。
[*]ランダムな敵+325体に325%の追加ダメージを与える。
・[#!]累積効果(最大：10):[#]仲間全員の攻撃力が-8%になる。",,
s4_hannah_costume_drover,Hannah C,・Deals 225% damage to the target and nearby enemies.,・ターゲットと近くにいる敵に225%のダメージを与える。,,
s4_zekena_costume_vines,Zekena C,"・Deals 400% damage to +400 other random enemies.
・This effect targets the same enemy as the first hit if there are no other valid targets.","・他のランダムな敵+400体に400%のダメージを与える。
・有効な他のターゲットがいない場合、最初の攻撃を受けた敵をもう一度攻撃する。",,
s4_akkorog_costume_football,Akkorog C,"・Rearranges the enemy positions randomly.
[*]Deals 260% damage to the target and nearby enemies.
・The caster gets 31% chance to dodge Special Skills for 3 turns. Each dodge gives 31% defense [#!]stack (Max: 10)[#].","・敵の位置をランダムにシャッフルする。
[*]ターゲットと近くにいる敵に260%のダメージを与える。
・3ターンの間、術者が31%の確率で特殊スキルを回避する。回避が成功するたびに防御力が31%増加する。この効果は[#!]累積する（最大：10）[#]。",,
s4_exeera_costume_hierophant,Exeera C,"・All enemies receive 1.8 Water damage, and an increase of 1.8 damage per each [##elementblue]Ice[#] shield on the board over 3 turns, up to 1.8 damage. This effect is uncleansable for all [##elementred]Fire[#] enemies.",・敵全員が、1.8水ダメージを受ける。さらに、3ターンにわたって、ボード上にある[##elementblue]氷[#]の盾1枚につき、1.8ダメージが追加され、最大1.8ダメージを与える。全ての[##elementred]炎属性[#]の敵は、この効果を浄化できない。,,
s4_hulda_costume_nurse,Hulda C,,,,
s4_xenda_costume_flame,Xenda C,"・Deals 230% damage to all enemies.
・All enemies receive 472 Burn damage over 4 turns.
・The caster steals generated mana of all enemies over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen.","・敵全員に230%のダメージを与える。
・4ターンの間、敵全員に472の燃焼ダメージを与える。
・術者が敵全員のマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。",,
orc_gladiator_costume_cute,Boldtusk C3,"・Recovers 33% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_red_TYPE_statuseffectamplifieragainstelement
・All allies get 40% attack for 4 turns. This effect can't be dispelled.","・仲間全員のライフを33%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_red_TYPE_statuseffectamplifieragainstelement
・4ターンの間、仲間全員の攻撃力が40%になる。この効果は解除できない。",,
elven_captain_costume_cute,Caedmon C3,・Deals 350% damage to the target.,・ターゲットに350%のダメージを与える。,,
nordic_ancestral_warrior_costume_cute,Grimm C3,"・Deals 325% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -28% defense for 6 turns.","・ターゲットに325%ダメージ、近くにいる敵に小ダメージを与える。
・6ターンの間、ターゲットと近くにいる敵の防御力が-28%になる。",,
forest_mage_costume_cute,Melendor C3,"・Recovers 45% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・All allies get 34% defense for 3 turns.","・仲間全員のライフを45%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・3ターンの間、仲間全員の防御力が34%になる。",,
forest_female_druid_costume_cute,Brienne C2,"・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・All allies get 145% attack, and a further 145% increase every time they are hit during 5 turns, up to 145% attack.","・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・仲間全員の攻撃力が145%になる。さらに、5ターンの間、攻撃を受ける度に145%ずつ増加する。最大145%まで。",,
oriental_panda_berserker_costume_cute,Gan Ju C2,"・Deals 300% damage to the target.
・Reduces the mana of the target by -20%.","・ターゲットに300%のダメージを与える。
・ターゲットのマナが-20%減少する。",,
nordic_swordman_costume_cute,Valen C2,"・Deals 330% damage to the target.
・The target gets -28% defense for 6 turns. This effect can't be cleansed.","・ターゲットに330%のダメージを与える。
・6ターンの間、ターゲットの防御力が-28%になる。この効果は浄化できない。",,
cultist_mage_costume_cute,Balthazar C2,・Deals 365% damage to the target.,・ターゲットに365%のダメージを与える。,,
nomad_mage_costume_cute,Jahangir C2,"・Deals 175% damage to all enemies.
・All enemies receive 117 Burn damage over 3 turns.","・敵全員に175%のダメージを与える。
・3ターンの間、敵全員に117の燃焼ダメージを与える。",,
dwarwen_brewmaster_costume_cute,Kiril C3,"・Recovers 31% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_blue_TYPE_statuseffectamplifieragainstelement
・All allies get 26% attack for 3 turns. This effect can't be dispelled.
・All allies get 26% defense for 3 turns.","・仲間全員のライフを31%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_blue_TYPE_statuseffectamplifieragainstelement
・3ターンの間、仲間全員の攻撃力が26%になる。この効果は解除できない。
・3ターンの間、仲間全員の防御力が26%になる。",,
oriental_female_templar_costume_cute,Li Xiu C3,"・Deals 180% damage to all enemies.
・Reduces the mana of all enemies by -16%.","・敵全員に180%のダメージを与える。
・敵全員のマナが-16%減少する。",,
oriental_female_mage_costume_cute,Kailani C2,"・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 56% defense for 5 turns.","・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の防御力が56%になる。",,
blackguard_female_captain_costume_cute,Prisca C2,・Deals 265% damage to the target.,・ターゲットに265%のダメージを与える。,,
s5_ahmose_costume_reborn,Ahmose C,"・Deals 410% damage to all enemies.
・All allies reflect all status effects and 125% damage back to the attacker and block other negative effects from enemies' [##elementred]Fire[#] Special Skills for 3 turns. This effect can't be dispelled.","・敵全員に410%のダメージを与える。
・仲間全員が、すべてのステータス効果を跳ね返す。さらに、3ターンの間、[##elementred]炎属性[#]の敵の特殊スキルによって発生した、その他のマイナスの影響を無効にし、ダメージの125%を攻撃者に跳ね返す。この効果は解除不可。",,
s5_anubis_costume_dancefloor,Anubis C,"・Inflicts the target with [#!]Greed[#] for 3 turns. Friendly effects from Special Skills only affect characters with Greed.
・All enemies receive 888 Poison damage over 3 turns.
・All enemies get -28% defense for 3 turns. This effect can't be dispelled.","・3ターンの間、ターゲットに[#!]グリード[#]を付与する。この間、特殊スキルによる有用な効果は、グリードが付与されたキャラクターのみにしか作用しなくなる。
・3ターンの間、敵全員に888の毒ダメージを与える。
・3ターンの間、敵全員の防御力が-28%になる。この効果は解除できない。",,
s5_hathor_costume_starlit,Hathor C,"・All allies regenerate 32 HP over 4 turns.
・All allies are immune to new status ailments for 4 turns. This effect can't be dispelled.","・4ターンに渡って、仲間全員のHPが32回復する。
・4ターンに渡って、仲間全員が新たなステータス異常を無効化する。この効果は解除できない。",,
s5_hetepheres_costume_spa,Hetepheres C,"・Recovers 54% health for all allies.
・All allies get 164% defense against [##elementgreen]Nature[#], and a further 164% increase every time they are hit during 4 turns, up to 164% defense.
・All enemies get -131% accuracy for 4 turns.","・仲間全員のライフを54%回復する。
・4ターンの間、[##elementgreen]自然属性[#]に対する仲間全員の防御力が164%になる。さらに、攻撃を受けるたびに164%ずつ増加する。最大164%まで。
・4ターンの間、敵全員の命中率が-131%になる。",,
s5_horus_costume_golden,Horus C,"・Deals 230% damage to the target and nearby enemies.
・Reduces max health of the target and nearby enemies by 230 over 3 turns. The effect is stronger against targets with boosted health.","・ターゲットと近くにいる敵に230%のダメージを与える。
・3ターンの間、ターゲットと近くにいる敵の最大HPを230減少させる。この効果はHPをブーストされたターゲットにも有効となる。",,
s5_maat_costume_river,Ma'at C,"・Deals 220% damage to all enemies.
・All enemies get -35% defense for 3 turns. This effect can't be dispelled.
・All [##elementred]Fire[#] enemies get -20% attack for 3 turns. This effect can't be cleansed.","・敵全員に220%のダメージを与える。
・3ターンの間、敵全員の防御力が-35%になる。この効果は解除できない。
・3ターンの間、[##elementred]炎属性[#]の敵全員の攻撃力が-20%になる。この効果は浄化できない。",,
nomad_axe_adventurer_costume_cute,Colen C3,"・Deals 210% damage to all enemies.
・All enemies receive 177 Burn damage over 3 turns.","・敵全員に210%のダメージを与える。
・3ターンの間、敵全員に177の燃焼ダメージを与える。",,
undead_captain_warrior_costume_cute,Cyprian C3,"・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_purple_TYPE_statuseffectamplifieragainstelement
・The caster and nearby allies counterattack with 90% of the damage received for 5 turns.","・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_purple_TYPE_statuseffectamplifieragainstelement
・5ターンの間、術者と近くにいる仲間が受けたダメージの90%で反撃する。",,
goblin_mage_costume_cute,Skittleskull C3,"・Deals 215% damage to all enemies.
・All enemies get -24% attack for 6 turns. This effect can't be cleansed.","・敵全員に215%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-24%になる。この効果は浄化不可。",,
nomad_female_berserker_costume_cute,Kelile C3,"・Deals 325% damage to the target.
・The target receives 219 Burn damage over 3 turns.","・ターゲットに325%のダメージを与える。
・3ターンの間、ターゲットに219の燃焼ダメージを与える。",,
nomad_female_swordmaster_costume_cute,Azar C2,"・Deals 285% damage to the target.
・Reduces the mana of the target by -20%.","・ターゲットに285%のダメージを与える。
・ターゲットのマナが-20%減少する。",,
oriental_brawler_costume_cute,Bane C2,"・Deals 305% damage to the target.
・The target gets -116% accuracy for 2 turns.","・ターゲットに305%のダメージを与える。
・2ターンの間、ターゲットの命中率が-116%になる。",,
forest_female_spirit_costume_cute,Belith C2,"・Recovers 35% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・All allies get 34% defense for 3 turns.","・仲間全員のライフを35%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・3ターンの間、仲間全員の防御力が34%になる。",,
nordic_chained_werewolf_costume_cute,Graymane C2,・Deals 255% damage to the target.,・ターゲットに255%のダメージを与える。,,
easter_archie_costume_gallant,Archie C,"・Deals 240% damage to all enemies.
・All enemies are immune to new status effect buffs for 4 turns.
・The caster gets -117% accuracy for 4 turns. This effect can't be cleansed.","・敵全員に240%のダメージを与える。
・4ターンの間、敵に新しく追加されるステータス効果を付与するバフを無効化する。
・4ターンの間、術者の命中率が-117%になる。この効果は浄化できない。",,
easter_jasper_costume_fisherman,Jasper C,"・All allies regenerate 40 HP over 5 turns.
・All allies get 60% attack for 5 turns. This effect can't be dispelled.
・All allies get -61% critical chance for 5 turns.
・The caster gets -5% mana generation for 5 turns. This effect can't be dispelled.","・5ターンに渡って、仲間全員のHPが40回復する。
・5ターンの間、仲間全員の攻撃力が60%になる。この効果は解除できない。
・5ターンの間、仲間全員のクリティカル攻撃を与える確率が-61%になる。
・5ターンの間、術者のマナ生成が-5%になる。この効果は解除できない。",,
wonderland_alice_costume_warping,N/A,"・Deals 440% damage to the target.
・The target gets -49% attack for 3 turns.","・ターゲットに440%のダメージを与える。
・3ターンの間、ターゲットの攻撃力が-49%になる。",,
wonderland_hatter_costume_tea,The Hatter C,"・Deals 400% damage to the target and minor damage to nearby enemies.
・Steals all dispellable buffs from all enemies and randomly distributes them on allies.","・ターゲットに400%ダメージ、近くにいる敵に小ダメージを与える。
・敵全員から、解除可能なバフをすべて盗み、仲間全員にランダムに分配する。",,
orc_troopmaster_costume_cute,Gormek C3,"・Deals 325% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -24% defense for 6 turns.","・ターゲットに325%ダメージ、近くにいる敵に小ダメージを与える。
・6ターンの間、ターゲットと近くにいる敵の防御力が-24%になる。",,
oriental_falconer_costume_cute,Chao C3,"・Deals 320% damage to the target.
・Reduces the mana of the target by -20%.","・ターゲットに320%のダメージを与える。
・ターゲットのマナが-20%減少する。",,
oriental_panda_warrior_costume_cute,Hu Tao C3,"・Deals 240% damage to all enemies.
・All enemies get -120% accuracy for 4 turns.","・敵全員に240%のダメージを与える。
・4ターンの間、敵全員の命中率が-120%になる。",,
lizardman_trapper_costume_cute,Kashhrek C3,"・Recovers 48% health for the caster and nearby allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・The caster and nearby allies get 84% defense against [#ff9f81]Fire[#] for 3 turns.","・術者と近くにいる仲間のライフを48%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・術者と近くにいる仲間の[#ff9f81]炎属性[#]への防御力が84%になる(3ターン)",,
forest_woodsman_warrior_costume_cute,Little John C3,"・Deals 215% damage to all enemies.
・All enemies get -54% mana generation for 3 turns.","・敵全員に215%のダメージを与える。
・3ターンの間、敵全員のマナ生成が-54%になる。",,
blackguard_knight_costume_cute,Rigard C3,"・Recovers 45% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_purple_TYPE_statuseffectamplifieragainstelement
・All allies get 34% defense for 3 turns.","・仲間全員のライフを45%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_purple_TYPE_statuseffectamplifieragainstelement
・3ターンの間、仲間全員の防御力が34%になる。",,
forest_archer_costume_cute,Berden C2,"・Deals 330% damage to the target.
・The target gets -24% attack for 6 turns.","・ターゲットに330%のダメージを与える。
・6ターンの間、ターゲットの攻撃力が-24%になる。",,
goblin_fighter_costume_cute,Carver C2,"・Deals 155% damage to all enemies.
・Reduces the mana of all enemies by -10%.","・敵全員に155%のダメージを与える。
・敵全員のマナが-10%減少する。",,
forest_friar_costume_cute,Friar Tuck C2,"・Recovers 40% health for the caster and nearby allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・The caster and nearby allies get 12% mana generation for 3 turns. This effect can't be dispelled.","・術者と近くにいる仲間のライフを40%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_green_TYPE_statuseffectamplifieragainstelement
・3ターンの間、術者と近くにいる仲間のマナ生成が12%になる。この効果は解除できない。",,
nomad_female_shaman_costume_cute,Hawkmoon C2,"・Recovers 35% health for all allies.
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_red_TYPE_statuseffectamplifieragainstelement
・All allies get 34% defense for 3 turns.","・仲間全員のライフを35%回復する。
・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_red_TYPE_statuseffectamplifieragainstelement
・3ターンの間、仲間全員の防御力が34%になる。",,
dwarven_smasher_costume_cute,Karil C2,・Deals 290% damage to the target and minor damage to nearby enemies.,・ターゲットに290%ダメージ、近くにいる敵に小ダメージを与える。,,
orc_warrior_costume_cute,Nashgar C2,"・Deals 295% damage to the target.
・The target receives 144 Burn damage over 4 turns.","・ターゲットに295%のダメージを与える。
・4ターンの間、ターゲットに144の燃焼ダメージを与える。",,
royal_female_knight_costume_cute,Sonya C3,・Deals 355% damage to the target.,・ターゲットに355%のダメージを与える。,,
oriental_monkey_captain_costume_cute,Wu Kong C3,"・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・All allies get 275% attack with 275% accuracy for 5 turns.","・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_status_effect_amplifier_against_yellow_TYPE_statuseffectamplifieragainstelement
・5ターンの間、仲間全員の攻撃力が275%に、命中率が275%になる。",,
lizardman_warrior_costume_cute,Isshtak C2,・Deals 290% damage to the target and minor damage to nearby enemies.,・ターゲットに290%ダメージ、近くにいる敵に小ダメージを与える。,,
nordic_mage_costume_cute,Ulmer C2,"・Deals 146% damage to all enemies.
・All enemies get -24% defense for 6 turns. This effect can't be dispelled.","・敵全員に146%のダメージを与える。
・6ターンの間、敵全員の防御力が-24%になる。この効果は解除できない。",,
